Country,Region,City,Type,North_Traffic (m),East_Traffic (m),West_Traffic (m),South_Traffic (m),North_Time(s),East_Time(s),West_Time(s),South_Time(s)
India,Magarpatta City,Pune,4-way,47,0,36,162,49,10,44,78
India,New Kalyani Nagar,Pune,4-way,33,149,96,12,43,77,68,24
India,LBS Marg Junction,Mumbai,4-way,25,164,1,0,40,79,11,10
India,Gandhi Nagar Junction,Mumbai,4-way,482,908,56,154,105,105,52,77
India,Jolly Marg Junction,Mumbai,4-way,24,12,60,14,39,24,54,27
India,Nikolsawadi Circle,Mumbai,4-way,39,984,679,32,46,105,105,43
India,MIDC A Cross Road,Mumbai,4-way,15,1,86,525,28,11,64,105
India,N S Phadke Marg,Mumbai,4-way,1005,532,79,51,105,105,62,50
India,Gokhale Bridge,Delhi,4-way,61,599,253,606,54,105,105,105
India,DND Flyway,Delhi,4-way,12,143,37,887,24,76,45,105
India,Maharani Bagh,Delhi,4-way,607,9,16,424,105,21,29,105
India,Burari Road,Delhi,4-way,1118,111,5,20,105,71,16,34
India,Khyber Pass Crossing,Delhi,4-way,0,51,95,57,10,50,68,53
India,Nigam Bodh Ghat,Delhi,4-way,78,92,15,489,61,67,28,105
India,P.S. Timarpur,Delhi,4-way,27,90,15,31,41,66,28,42
India,Mall Road,Delhi,4-way,575,197,131,136,105,83,74,75
India,Chennai Bypass Road,Chennai,4-way,104,14,109,0,71,27,71,10
India,Bangalore Chennai Expressway,Chennai,4-way,67,59,0,135,57,54,10,75
India,Anna Salai,Chennai,4-way,57,87,44,16,53,65,48,29
India,EVR Periyar Salai,Chennai,4-way,88,84,32,41,65,64,43,46
India,Arukilpadi road,Chennai,4-way,45,4,17,0,48,15,30,10
India,Thakkolam,Chennai,4-way,9,626,159,4,21,105,78,15
India,Golden Quadrilateral,Chennai,4-way,49,128,11,60,50,74,23,54
India,Chowringhee Road,Kolkata,4-way,1183,25,152,158,105,40,77,78
India,Hazra Road,Kolkata,4-way,16,4,158,0,29,15,78,10
India,Park Street,Kolkata,4-way,85,50,87,15,64,50,65,28
India,Hazra Road,Kolkata,4-way,96,14,19,61,68,27,33,54
India,College Street,Kolkata,4-way,191,1002,19,44,82,105,33,48
India,Jaddu Mullick Street,Kolkata,4-way,0,18,64,21,10,32,56,35
India,Raja SC Mullick Road,Kolkata,4-way,20,1019,5,486,34,105,16,105
India,Burdwan Road,Kolkata,4-way,12,96,88,8,24,68,65,20
India,Burdwan Road,Kolkata,4-way,63,13,43,11,55,26,47,23
India,Eastern Metropolitan Bypass,Kolkata,4-way,74,89,72,149,60,66,59,77
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,0,189,284,479,10,82,105,105
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,88,674,15,125,65,105,28,73
India,Mahatma Gandhi Marg,Indore,4-way,17,445,1150,25,30,105,105,40
India,A.B. Road,Indore,4-way,200,0,13,86,83,10,26,64
India,Dewas Road,Indore,4-way,1062,470,55,447,105,105,52,105
India,Ujjain Road,Indore,4-way,186,0,88,195,81,10,65,83
India,Dhar Road,Indore,4-way,5,13,75,1107,16,26,60,105
India,Pithampur Road,Indore,4-way,177,0,6,128,80,10,17,74
India,Khandwa Road,Indore,4-way,83,154,12,114,63,77,24,72
India,Nemawar Road,Indore,4-way,14,163,22,30,27,78,36,42
India,Sarafa Bazaar,Indore,4-way,33,86,15,63,43,64,28,55
India,Chappan Dukan,Indore,4-way,72,11,278,19,59,23,105,33
India,Olpad-Rander Road,Surat,4-way,902,19,101,37,105,33,70,45
India,Hazira-Adajan Road,Surat,4-way,587,17,13,191,105,30,26,82
India,Sachin-Udhna Road,Surat,4-way,66,14,6,3,56,27,17,14
India,Dumas-Athwa Road,Surat,4-way,7,154,16,90,18,77,29,66
India,Kamrej-Varachha Road,Surat,4-way,185,91,69,20,81,66,58,34
India,Kadodara-Sahara Road,Surat,4-way,988,43,43,88,105,47,47,65
India,National Highway 6 (NH6),Surat,4-way,103,5,88,85,70,16,65,64
India,National Highway 8 (NH8),Surat,4-way,149,199,140,30,77,83,75,42
India,Outer Ring Road,Surat,4-way,32,19,12,18,43,33,24,32
India,Surat-Chennai Expressway,Surat,4-way,15,701,31,9,28,105,42,21
India,J.M. Road,Pune,4-way,30,87,13,12,42,65,26,24
India,Fergusson College Road (FC Road),Pune,4-way,889,11,24,17,105,23,39,30
India,Laxmi Road,Pune,4-way,19,17,557,67,33,30,105,57
India,Shivaji Nagar,Pune,4-way,1045,24,833,71,105,39,105,58
India,Koregaon Park,Pune,4-way,94,1011,0,3,68,105,10,14
India,Kothrud,Pune,4-way,12,16,171,4,24,29,79,15
India,Viman Nagar,Pune,4-way,88,13,20,12,65,26,34,24
India,Aundh,Pune,4-way,42,129,138,284,47,74,75,105
India,Magarpatta City,Pune,4-way,127,1002,98,116,74,105,69,72
India,New Kalyani Nagar,Pune,4-way,46,18,0,12,48,32,10,24
India,LBS Marg Junction,Mumbai,4-way,19,96,1049,154,33,68,105,77
India,Gandhi Nagar Junction,Mumbai,4-way,147,98,22,132,76,69,36,74
India,Jolly Marg Junction,Mumbai,4-way,34,565,0,7,44,105,10,18
India,Nikolsawadi Circle,Mumbai,4-way,2,61,102,98,12,54,70,69
India,MIDC A Cross Road,Mumbai,4-way,47,38,77,13,49,45,61,26
India,N S Phadke Marg,Mumbai,4-way,13,456,134,49,26,105,75,50
India,Gokhale Bridge,Delhi,4-way,21,0,35,36,35,10,44,44
India,DND Flyway,Delhi,4-way,76,81,66,158,60,62,56,78
India,Maharani Bagh,Delhi,4-way,789,12,17,1091,105,24,30,105
India,Burari Road,Delhi,4-way,382,9,180,27,105,21,81,41
India,Khyber Pass Crossing,Delhi,4-way,95,154,156,16,68,77,77,29
India,Nigam Bodh Ghat,Delhi,4-way,2,268,916,28,12,105,105,41
India,P.S. Timarpur,Delhi,4-way,20,126,1007,94,34,73,105,68
India,Mall Road,Delhi,4-way,734,25,76,42,105,40,60,47
India,Chennai Bypass Road,Chennai,4-way,27,65,8,7,41,56,20,18
India,Bangalore Chennai Expressway,Chennai,4-way,89,640,4,44,66,105,15,48
India,Anna Salai,Chennai,4-way,1,16,140,85,11,29,75,64
India,EVR Periyar Salai,Chennai,4-way,0,65,45,3,10,56,48,14
India,Arukilpadi road,Chennai,4-way,170,170,19,11,79,79,33,23
India,Thakkolam,Chennai,4-way,42,3,157,35,47,14,78,44
India,Golden Quadrilateral,Chennai,4-way,397,21,20,179,105,35,34,81
India,Chowringhee Road,Kolkata,4-way,8,11,748,98,20,23,105,69
India,Hazra Road,Kolkata,4-way,0,2,121,23,10,12,73,38
India,Park Street,Kolkata,4-way,16,389,98,3,29,105,69,14
India,Hazra Road,Kolkata,4-way,89,16,89,19,66,29,66,33
India,College Street,Kolkata,4-way,46,197,54,59,48,83,52,54
India,Jaddu Mullick Street,Kolkata,4-way,26,863,207,140,40,105,84,75
India,Raja SC Mullick Road,Kolkata,4-way,93,3,174,25,67,14,80,40
India,Burdwan Road,Kolkata,4-way,18,121,2,4,32,73,12,15
India,Burdwan Road,Kolkata,4-way,154,33,166,18,77,43,79,32
India,Eastern Metropolitan Bypass,Kolkata,4-way,67,13,195,87,57,26,83,65
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,46,450,89,154,48,105,66,77
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,36,10,0,15,44,22,10,28
India,Mahatma Gandhi Marg,Indore,4-way,14,276,4,127,27,105,15,74
India,A.B. Road,Indore,4-way,19,82,28,7,33,63,41,18
India,Dewas Road,Indore,4-way,6,159,178,10,17,78,80,22
India,Ujjain Road,Indore,4-way,1191,7,1055,62,105,18,105,55
India,Dhar Road,Indore,4-way,45,47,106,12,48,49,71,24
India,Pithampur Road,Indore,4-way,7,197,133,149,18,83,74,77
India,Khandwa Road,Indore,4-way,965,9,895,92,105,21,105,67
India,Nemawar Road,Indore,4-way,59,1047,11,18,54,105,23,32
India,Sarafa Bazaar,Indore,4-way,11,135,22,60,23,75,36,54
India,Chappan Dukan,Indore,4-way,44,188,45,15,48,82,48,28
India,Olpad-Rander Road,Surat,4-way,18,990,19,0,32,105,33,10
India,Hazira-Adajan Road,Surat,4-way,111,8,292,63,71,20,105,55
India,Sachin-Udhna Road,Surat,4-way,76,984,13,143,60,105,26,76
India,Dumas-Athwa Road,Surat,4-way,315,190,134,22,105,82,75,36
India,Kamrej-Varachha Road,Surat,4-way,440,186,125,124,105,81,73,73
India,Kadodara-Sahara Road,Surat,4-way,198,0,78,724,83,10,61,105
India,National Highway 6 (NH6),Surat,4-way,169,420,13,11,79,105,26,23
India,National Highway 8 (NH8),Surat,4-way,196,15,93,17,83,28,67,30
India,Outer Ring Road,Surat,4-way,11,4,167,91,23,15,79,66
India,Surat-Chennai Expressway,Surat,4-way,40,81,15,18,46,62,28,32
India,J.M. Road,Pune,4-way,429,16,26,35,105,29,40,44
India,Fergusson College Road (FC Road),Pune,4-way,55,17,196,140,52,30,83,75
India,Laxmi Road,Pune,4-way,194,10,1179,28,83,22,105,41
India,Shivaji Nagar,Pune,4-way,275,19,19,75,105,33,33,60
India,Koregaon Park,Pune,4-way,47,61,674,149,49,54,105,77
India,Kothrud,Pune,4-way,242,8,11,20,89,20,23,34
India,Viman Nagar,Pune,4-way,195,15,166,43,83,28,79,47
India,Aundh,Pune,4-way,163,717,25,688,78,105,40,105
India,Magarpatta City,Pune,4-way,920,15,1190,4,105,28,105,15
India,New Kalyani Nagar,Pune,4-way,79,745,65,78,62,105,56,61
India,LBS Marg Junction,Mumbai,4-way,26,100,8,20,40,70,20,34
India,Gandhi Nagar Junction,Mumbai,4-way,11,18,42,18,23,32,47,32
India,Jolly Marg Junction,Mumbai,4-way,93,38,19,3,67,45,33,14
India,Nikolsawadi Circle,Mumbai,4-way,512,9,1085,3,105,21,105,14
India,MIDC A Cross Road,Mumbai,4-way,62,32,5,1151,55,43,16,105
India,N S Phadke Marg,Mumbai,4-way,117,43,5,1012,72,47,16,105
India,Gokhale Bridge,Delhi,4-way,83,833,142,36,63,105,76,44
India,DND Flyway,Delhi,4-way,62,19,5,1090,55,33,16,105
India,Maharani Bagh,Delhi,4-way,47,8,294,44,49,20,105,48
India,Burari Road,Delhi,4-way,886,87,19,18,105,65,33,32
India,Khyber Pass Crossing,Delhi,4-way,173,618,122,484,80,105,73,105
India,Nigam Bodh Ghat,Delhi,4-way,3,54,14,1035,14,52,27,105
India,P.S. Timarpur,Delhi,4-way,14,42,784,68,27,47,105,57
India,Mall Road,Delhi,4-way,5,9,70,12,16,21,58,24
India,Chennai Bypass Road,Chennai,4-way,959,1120,14,44,105,105,27,48
India,Bangalore Chennai Expressway,Chennai,4-way,498,12,33,17,105,24,43,30
India,Anna Salai,Chennai,4-way,35,12,87,0,44,24,65,10
India,EVR Periyar Salai,Chennai,4-way,175,59,22,161,80,54,36,78
India,Arukilpadi road,Chennai,4-way,196,156,17,242,83,77,30,89
India,Thakkolam,Chennai,4-way,984,51,0,22,105,50,10,36
India,Golden Quadrilateral,Chennai,4-way,4,7,11,100,15,18,23,70
India,Chowringhee Road,Kolkata,4-way,158,3,44,93,78,14,48,67
India,Hazra Road,Kolkata,4-way,50,200,121,85,50,83,73,64
India,Park Street,Kolkata,4-way,637,10,631,807,105,22,105,105
India,Hazra Road,Kolkata,4-way,2,165,126,175,12,79,73,80
India,College Street,Kolkata,4-way,684,6,11,28,105,17,23,41
India,Jaddu Mullick Street,Kolkata,4-way,14,179,401,168,27,81,105,79
India,Raja SC Mullick Road,Kolkata,4-way,97,129,53,157,69,74,51,78
India,Burdwan Road,Kolkata,4-way,166,37,4,1031,79,45,15,105
India,Burdwan Road,Kolkata,4-way,39,358,74,156,46,105,60,77
India,Eastern Metropolitan Bypass,Kolkata,4-way,37,0,80,12,45,10,62,24
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,194,76,1004,179,83,60,105,81
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,644,106,14,359,105,71,27,105
India,Mahatma Gandhi Marg,Indore,4-way,889,67,12,16,105,57,24,29
India,A.B. Road,Indore,4-way,61,196,369,14,54,83,105,27
India,Dewas Road,Indore,4-way,494,904,152,99,105,105,77,70
India,Ujjain Road,Indore,4-way,185,96,74,142,81,68,60,76
India,Dhar Road,Indore,4-way,105,133,402,1,71,74,105,11
India,Pithampur Road,Indore,4-way,73,1193,85,73,59,105,64,59
India,Khandwa Road,Indore,4-way,170,940,29,453,79,105,42,105
India,Nemawar Road,Indore,4-way,688,139,141,89,105,75,75,66
India,Sarafa Bazaar,Indore,4-way,95,14,46,79,68,27,48,62
India,Chappan Dukan,Indore,4-way,20,88,93,0,34,65,67,10
India,Olpad-Rander Road,Surat,4-way,93,334,859,972,67,105,105,105
India,Hazira-Adajan Road,Surat,4-way,174,8,1,20,80,20,11,34
India,Sachin-Udhna Road,Surat,4-way,456,62,188,180,105,55,82,81
India,Dumas-Athwa Road,Surat,4-way,175,75,14,19,80,60,27,33
India,Kamrej-Varachha Road,Surat,4-way,68,101,0,0,57,70,10,10
India,Kadodara-Sahara Road,Surat,4-way,30,14,174,147,42,27,80,76
India,National Highway 6 (NH6),Surat,4-way,28,22,98,62,41,36,69,55
India,National Highway 8 (NH8),Surat,4-way,47,84,15,230,49,64,28,87
India,Outer Ring Road,Surat,4-way,1037,16,19,105,105,29,33,71
India,Surat-Chennai Expressway,Surat,4-way,82,58,38,130,63,53,45,74
India,J.M. Road,Pune,4-way,97,36,989,125,69,44,105,73
India,Fergusson College Road (FC Road),Pune,4-way,34,1015,0,152,44,105,10,77
India,Laxmi Road,Pune,4-way,109,42,35,14,71,47,44,27
India,Shivaji Nagar,Pune,4-way,170,43,3,175,79,47,14,80
India,Koregaon Park,Pune,4-way,34,9,96,52,44,21,68,51
India,Kothrud,Pune,4-way,0,423,28,155,10,105,41,77
India,Viman Nagar,Pune,4-way,147,137,11,39,76,75,23,46
India,Aundh,Pune,4-way,3,88,38,25,14,65,45,40
India,Magarpatta City,Pune,4-way,30,143,956,600,42,76,105,105
India,New Kalyani Nagar,Pune,4-way,2,10,970,1132,12,22,105,105
India,LBS Marg Junction,Mumbai,4-way,63,80,10,6,55,62,22,17
India,Gandhi Nagar Junction,Mumbai,4-way,158,73,5,87,78,59,16,65
India,Jolly Marg Junction,Mumbai,4-way,42,5,16,90,47,16,29,66
India,Nikolsawadi Circle,Mumbai,4-way,946,317,69,13,105,105,58,26
India,MIDC A Cross Road,Mumbai,4-way,14,21,54,12,27,35,52,24
India,N S Phadke Marg,Mumbai,4-way,194,58,20,14,83,53,34,27
India,Gokhale Bridge,Delhi,4-way,16,10,525,13,29,22,105,26
India,DND Flyway,Delhi,4-way,549,10,52,12,105,22,51,24
India,Maharani Bagh,Delhi,4-way,50,134,51,40,50,75,50,46
India,Burari Road,Delhi,4-way,6,55,179,16,17,52,81,29
India,Khyber Pass Crossing,Delhi,4-way,949,6,78,67,105,17,61,57
India,Nigam Bodh Ghat,Delhi,4-way,5,2,51,65,16,12,50,56
India,P.S. Timarpur,Delhi,4-way,90,161,89,102,66,78,66,70
India,Mall Road,Delhi,4-way,13,20,107,118,26,34,71,72
India,Chennai Bypass Road,Chennai,4-way,83,17,53,108,63,30,51,71
India,Bangalore Chennai Expressway,Chennai,4-way,90,80,18,62,66,62,32,55
India,Anna Salai,Chennai,4-way,16,95,5,162,29,68,16,78
India,EVR Periyar Salai,Chennai,4-way,20,23,27,61,34,38,41,54
India,Arukilpadi road,Chennai,4-way,50,13,17,3,50,26,30,14
India,Thakkolam,Chennai,4-way,478,521,935,19,105,105,105,33
India,Golden Quadrilateral,Chennai,4-way,19,33,116,72,33,43,72,59
India,Chowringhee Road,Kolkata,4-way,9,1165,119,83,21,105,73,63
India,Hazra Road,Kolkata,4-way,60,20,79,87,54,34,62,65
India,Park Street,Kolkata,4-way,230,134,14,198,87,75,27,83
India,Hazra Road,Kolkata,4-way,1181,0,11,48,105,10,23,49
India,College Street,Kolkata,4-way,14,482,11,24,27,105,23,39
India,Jaddu Mullick Street,Kolkata,4-way,565,18,82,172,105,32,63,80
India,Raja SC Mullick Road,Kolkata,4-way,11,1200,132,87,23,105,74,65
India,Burdwan Road,Kolkata,4-way,280,84,81,18,105,64,62,32
India,Burdwan Road,Kolkata,4-way,191,670,181,497,82,105,81,105
India,Eastern Metropolitan Bypass,Kolkata,4-way,12,6,603,11,24,17,105,23
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,132,989,15,29,74,105,28,42
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,8,19,19,0,20,33,33,10
India,Mahatma Gandhi Marg,Indore,4-way,39,1033,966,184,46,105,105,81
India,A.B. Road,Indore,4-way,700,12,145,179,105,24,76,81
India,Dewas Road,Indore,4-way,17,618,180,91,30,105,81,66
India,Ujjain Road,Indore,4-way,1131,0,47,73,105,10,49,59
India,Dhar Road,Indore,4-way,9,1056,6,1119,21,105,17,105
India,Pithampur Road,Indore,4-way,47,19,17,151,49,33,30,77
India,Khandwa Road,Indore,4-way,1141,16,475,20,105,29,105,34
India,Nemawar Road,Indore,4-way,762,148,86,45,105,76,64,48
India,Sarafa Bazaar,Indore,4-way,18,24,1163,200,32,39,105,83
India,Chappan Dukan,Indore,4-way,18,17,293,18,32,30,105,32
India,Olpad-Rander Road,Surat,4-way,11,16,149,55,23,29,77,52
India,Hazira-Adajan Road,Surat,4-way,516,90,95,74,105,66,68,60
India,Sachin-Udhna Road,Surat,4-way,9,153,0,17,21,77,10,30
India,Dumas-Athwa Road,Surat,4-way,81,9,2,14,62,21,12,27
India,Kamrej-Varachha Road,Surat,4-way,0,0,19,36,10,10,33,44
India,Kadodara-Sahara Road,Surat,4-way,14,581,18,108,27,105,32,71
India,National Highway 6 (NH6),Surat,4-way,525,23,9,16,105,38,21,29
India,National Highway 8 (NH8),Surat,4-way,4,20,20,38,15,34,34,45
India,Outer Ring Road,Surat,4-way,8,0,54,4,20,10,52,15
India,Surat-Chennai Expressway,Surat,4-way,5,41,1005,100,16,46,105,70
India,J.M. Road,Pune,4-way,5,4,1103,0,16,15,105,10
India,Fergusson College Road (FC Road),Pune,4-way,86,88,154,7,64,65,77,18
India,Laxmi Road,Pune,4-way,96,80,76,45,68,62,60,48
India,Shivaji Nagar,Pune,4-way,17,63,11,98,30,55,23,69
India,Koregaon Park,Pune,4-way,126,623,136,4,73,105,75,15
India,Kothrud,Pune,4-way,13,137,141,402,26,75,75,105
India,Viman Nagar,Pune,4-way,47,83,12,23,49,63,24,38
India,Aundh,Pune,4-way,76,1025,86,90,60,105,64,66
India,Magarpatta City,Pune,4-way,1,337,84,12,11,105,64,24
India,New Kalyani Nagar,Pune,4-way,20,88,40,7,34,65,46,18
India,LBS Marg Junction,Mumbai,4-way,133,18,45,19,74,32,48,33
India,Gandhi Nagar Junction,Mumbai,4-way,15,174,197,83,28,80,83,63
India,Jolly Marg Junction,Mumbai,4-way,882,62,20,120,105,55,34,73
India,Nikolsawadi Circle,Mumbai,4-way,14,100,473,27,27,70,105,41
India,MIDC A Cross Road,Mumbai,4-way,8,228,85,672,20,87,64,105
India,N S Phadke Marg,Mumbai,4-way,12,17,170,880,24,30,79,105
India,Gokhale Bridge,Delhi,4-way,4,689,3,311,15,105,14,105
India,DND Flyway,Delhi,4-way,1137,24,628,20,105,39,105,34
India,Maharani Bagh,Delhi,4-way,9,10,0,86,21,22,10,64
India,Burari Road,Delhi,4-way,1152,34,428,10,105,44,105,22
India,Khyber Pass Crossing,Delhi,4-way,5,9,1151,899,16,21,105,105
India,Nigam Bodh Ghat,Delhi,4-way,6,35,172,77,17,44,80,61
India,P.S. Timarpur,Delhi,4-way,52,1006,91,28,51,105,66,41
India,Mall Road,Delhi,4-way,77,15,13,15,61,28,26,28
India,Chennai Bypass Road,Chennai,4-way,5,17,17,191,16,30,30,82
India,Bangalore Chennai Expressway,Chennai,4-way,18,120,17,861,32,73,30,105
India,Anna Salai,Chennai,4-way,580,15,44,76,105,28,48,60
India,EVR Periyar Salai,Chennai,4-way,13,87,377,12,26,65,105,24
India,Arukilpadi road,Chennai,4-way,82,11,17,152,63,23,30,77
India,Thakkolam,Chennai,4-way,46,18,122,616,48,32,73,105
India,Golden Quadrilateral,Chennai,4-way,11,553,19,2,23,105,33,12
India,Chowringhee Road,Kolkata,4-way,153,45,393,843,77,48,105,105
India,Hazra Road,Kolkata,4-way,12,644,597,53,24,105,105,51
India,Park Street,Kolkata,4-way,13,94,28,71,26,68,41,58
India,Hazra Road,Kolkata,4-way,0,42,478,994,10,47,105,105
India,College Street,Kolkata,4-way,89,12,36,18,66,24,44,32
India,Jaddu Mullick Street,Kolkata,4-way,120,19,200,2,73,33,83,12
India,Raja SC Mullick Road,Kolkata,4-way,139,99,77,18,75,70,61,32
India,Burdwan Road,Kolkata,4-way,80,9,616,14,62,21,105,27
India,Burdwan Road,Kolkata,4-way,896,13,132,15,105,26,74,28
India,Eastern Metropolitan Bypass,Kolkata,4-way,188,938,217,70,82,105,86,58
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,951,24,13,19,105,39,26,33
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,138,19,11,45,75,33,23,48
India,Mahatma Gandhi Marg,Indore,4-way,9,95,1081,33,21,68,105,43
India,A.B. Road,Indore,4-way,166,68,120,64,79,57,73,56
India,Dewas Road,Indore,4-way,48,808,72,84,49,105,59,64
India,Ujjain Road,Indore,4-way,83,58,831,91,63,53,105,66
India,Dhar Road,Indore,4-way,1160,5,0,70,105,16,10,58
India,Pithampur Road,Indore,4-way,28,0,1,326,41,10,11,105
India,Khandwa Road,Indore,4-way,3,13,40,44,14,26,46,48
India,Nemawar Road,Indore,4-way,79,35,15,18,62,44,28,32
India,Sarafa Bazaar,Indore,4-way,330,62,110,15,105,55,71,28
India,Chappan Dukan,Indore,4-way,5,513,87,81,16,105,65,62
India,Olpad-Rander Road,Surat,4-way,93,36,14,313,67,44,27,105
India,Hazira-Adajan Road,Surat,4-way,174,24,12,143,80,39,24,76
India,Sachin-Udhna Road,Surat,4-way,367,59,50,18,105,54,50,32
India,Dumas-Athwa Road,Surat,4-way,123,96,139,861,73,68,75,105
India,Kamrej-Varachha Road,Surat,4-way,187,79,9,12,82,62,21,24
India,Kadodara-Sahara Road,Surat,4-way,117,24,194,389,72,39,83,105
India,National Highway 6 (NH6),Surat,4-way,41,15,24,15,46,28,39,28
India,National Highway 8 (NH8),Surat,4-way,109,83,129,133,71,63,74,74
India,Outer Ring Road,Surat,4-way,11,16,538,100,23,29,105,70
India,Surat-Chennai Expressway,Surat,4-way,1162,9,54,184,105,21,52,81
India,J.M. Road,Pune,4-way,20,0,750,13,34,10,105,26
India,Fergusson College Road (FC Road),Pune,4-way,307,16,20,36,105,29,34,44
India,Laxmi Road,Pune,4-way,175,996,22,28,80,105,36,41
India,Shivaji Nagar,Pune,4-way,69,133,15,20,58,74,28,34
India,Koregaon Park,Pune,4-way,20,108,201,66,34,71,83,56
India,Kothrud,Pune,4-way,632,114,17,17,105,72,30,30
India,Viman Nagar,Pune,4-way,188,168,116,758,82,79,72,105
India,Aundh,Pune,4-way,56,11,0,41,52,23,10,46
India,Magarpatta City,Pune,4-way,1134,96,90,93,105,68,66,67
India,New Kalyani Nagar,Pune,4-way,618,15,537,0,105,28,105,10
India,LBS Marg Junction,Mumbai,4-way,39,855,64,19,46,105,56,33
India,Gandhi Nagar Junction,Mumbai,4-way,130,4,113,19,74,15,72,33
India,Jolly Marg Junction,Mumbai,4-way,2,15,103,19,12,28,70,33
India,Nikolsawadi Circle,Mumbai,4-way,45,541,99,15,48,105,70,28
India,MIDC A Cross Road,Mumbai,4-way,27,427,17,10,41,105,30,22
India,N S Phadke Marg,Mumbai,4-way,171,179,60,13,79,81,54,26
India,Gokhale Bridge,Delhi,4-way,0,810,44,23,10,105,48,38
India,DND Flyway,Delhi,4-way,1022,160,199,17,105,78,83,30
India,Maharani Bagh,Delhi,4-way,72,271,93,12,59,105,67,24
India,Burari Road,Delhi,4-way,71,91,7,587,58,66,18,105
India,Khyber Pass Crossing,Delhi,4-way,14,180,156,47,27,81,77,49
India,Nigam Bodh Ghat,Delhi,4-way,16,91,16,48,29,66,29,49
India,P.S. Timarpur,Delhi,4-way,59,701,18,6,54,105,32,17
India,Mall Road,Delhi,4-way,6,16,0,965,17,29,10,105
India,Chennai Bypass Road,Chennai,4-way,0,14,49,109,10,27,50,71
India,Bangalore Chennai Expressway,Chennai,4-way,2,172,321,1,12,80,105,11
India,Anna Salai,Chennai,4-way,197,31,744,50,83,42,105,50
India,EVR Periyar Salai,Chennai,4-way,114,149,57,19,72,77,53,33
India,Arukilpadi road,Chennai,4-way,61,599,981,16,54,105,105,29
India,Thakkolam,Chennai,4-way,785,42,189,131,105,47,82,74
India,Golden Quadrilateral,Chennai,4-way,44,14,4,15,48,27,15,28
India,Chowringhee Road,Kolkata,4-way,12,5,32,149,24,16,43,77
India,Hazra Road,Kolkata,4-way,244,15,560,1125,89,28,105,105
India,Park Street,Kolkata,4-way,88,66,922,502,65,56,105,105
India,Hazra Road,Kolkata,4-way,92,20,1051,134,67,34,105,75
India,College Street,Kolkata,4-way,13,7,171,31,26,18,79,42
India,Jaddu Mullick Street,Kolkata,4-way,14,12,14,757,27,24,27,105
India,Raja SC Mullick Road,Kolkata,4-way,848,91,1,37,105,66,11,45
India,Burdwan Road,Kolkata,4-way,15,2,18,1157,28,12,32,105
India,Burdwan Road,Kolkata,4-way,1,517,0,50,11,105,10,50
India,Eastern Metropolitan Bypass,Kolkata,4-way,106,7,486,12,71,18,105,24
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,301,82,182,5,105,63,81,16
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,511,60,93,161,105,54,67,78
India,Mahatma Gandhi Marg,Indore,4-way,144,7,192,11,76,18,82,23
India,A.B. Road,Indore,4-way,133,51,718,70,74,50,105,58
India,Dewas Road,Indore,4-way,61,96,20,90,54,68,34,66
India,Ujjain Road,Indore,4-way,11,15,18,86,23,28,32,64
India,Dhar Road,Indore,4-way,166,2,832,142,79,12,105,76
India,Pithampur Road,Indore,4-way,875,42,125,199,105,47,73,83
India,Khandwa Road,Indore,4-way,20,144,798,6,34,76,105,17
India,Nemawar Road,Indore,4-way,89,123,1025,73,66,73,105,59
India,Sarafa Bazaar,Indore,4-way,71,16,12,200,58,29,24,83
India,Chappan Dukan,Indore,4-way,85,47,6,15,64,49,17,28
India,Olpad-Rander Road,Surat,4-way,93,92,130,1198,67,67,74,105
India,Hazira-Adajan Road,Surat,4-way,862,15,20,106,105,28,34,71
India,Sachin-Udhna Road,Surat,4-way,61,70,103,18,54,58,70,32
India,Dumas-Athwa Road,Surat,4-way,0,96,66,147,10,68,56,76
India,Kamrej-Varachha Road,Surat,4-way,12,13,91,178,24,26,66,80
India,Kadodara-Sahara Road,Surat,4-way,371,18,12,17,105,32,24,30
India,National Highway 6 (NH6),Surat,4-way,100,466,962,1110,70,105,105,105
India,National Highway 8 (NH8),Surat,4-way,964,9,35,841,105,21,44,105
India,Outer Ring Road,Surat,4-way,41,416,848,2,46,105,105,12
India,Surat-Chennai Expressway,Surat,4-way,432,89,62,82,105,66,55,63
India,J.M. Road,Pune,4-way,911,19,595,12,105,33,105,24
India,Fergusson College Road (FC Road),Pune,4-way,198,560,11,40,83,105,23,46
India,Laxmi Road,Pune,4-way,192,78,199,87,82,61,83,65
India,Shivaji Nagar,Pune,4-way,9,13,62,93,21,26,55,67
India,Koregaon Park,Pune,4-way,0,8,81,1084,10,20,62,105
India,Kothrud,Pune,4-way,19,14,28,302,33,27,41,105
India,Viman Nagar,Pune,4-way,415,182,29,0,105,81,42,10
